Year,Alabama,Alaska,Arizona,Arkansas ,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
1992,,0,"234,150",0,"1,278,103","224,920","515,826","74,513",,"2,071,868",0,0,"51,980","1,475,813","359,491","150,988","73,077","401,850","355,965","114,055","770,780","1,610,939","1,120,927","279,934",0,"207,516","26,312",0,0,"99,378","1,287,001",0,"1,880,983",0,0,"1,700,595",0,"244,417","1,315,054","57,512",0,"60,538",0,0,0,"48,608","825,964","302,190","85,861","425,900",0
1993,,0,"242,920",0,"1,655,133","247,575","524,048","85,266",,"2,015,835",0,0,"57,152","1,405,927","467,475","186,169","108,679","453,946","458,317","118,074","836,021","1,890,841","1,142,614","310,566",0,"241,249","34,704",0,0,"99,351","1,290,096",0,"2,161,473",0,0,"1,857,007",0,"532,343","1,334,659","117,472",0,"77,481",0,"1,685,784",0,"47,358","822,847","364,956","110,110","469,529",0
1994,,0,"233,355",0,"1,816,321","269,355","523,746","95,890",,"2,043,587","1,010,159",0,"72,515","1,373,554","526,800","185,653","144,448","448,982","324,655","145,197","932,327","2,306,091","1,249,917","311,691",0,"329,970","35,417","52,853",0,"104,423","1,353,623",0,"2,176,356",0,0,"1,803,079",0,"703,437","1,462,426","167,711",0,"92,290",0,"2,471,555",0,"49,856","854,889","314,580","131,452","470,160",0
1995,,0," 268,772 ",0," 2,025,415 "," 329,665 "," 636,294 "," 108,770 ",," 2,126,423 "," 1,291,509 ",0," 87,969 "," 1,467,854 "," 562,934 "," 186,121 "," 162,791 "," 479,884 "," 279,473 "," 153,204 "," 984,180 "," 2,628,555 "," 1,271,655 "," 317,527 ",0," 387,151 "," 30,957 "," 79,021 ",0," 132,477 "," 1,490,539 ",0," 2,773,997 ",0,0," 2,048,888 ",0," 885,486 "," 1,487,887 "," 286,542 ",0," 83,905 ",0," 2,743,061 ",0," 71,696 "," 879,926 "," 400,926 "," 155,366 "," 492,194 ",0
1996,,0," 243,285 ",0," 2,144,503 "," 310,343 "," 669,936 "," 126,773 ",," 1,962,014 "," 1,434,785 ",0," 91,162 "," 1,473,813 "," 572,925 "," 169,998 "," 167,506 "," 509,175 "," 265,852 "," 148,690 "," 1,052,673 "," 2,850,344 "," 1,329,265 "," 355,632 ",0," 396,371 "," 29,997 "," 81,830 ",0," 153,097 "," 1,501,768 ",0," 3,295,255 ",0,0," 2,234,615 ",0," 944,940 "," 1,585,279 "," 395,992 ",0," 118,858 ",0," 3,101,735 ",0," 74,741 "," 901,212 "," 389,881 "," 171,709 "," 457,323 ",0
1997,,0," 234,809 ",0," 1,930,040 "," 339,982 "," 771,687 "," 224,192 ",," 1,965,292 "," 1,536,492 ",0," 86,984 "," 1,461,667 "," 529,030 "," 155,519 "," 169,172 "," 535,659 "," 257,921 "," 146,255 "," 1,043,583 "," 3,001,991 "," 1,487,203 "," 349,472 ",0," 412,133 "," 26,747 "," 76,620 ",0," 166,285 "," 1,501,768 "," 82,192 "," 3,644,193 ",0,0," 2,444,687 ",0," 1,373,043 "," 1,611,310 "," 475,888 ",0," 118,535 ",0," 3,384,859 ",0," 77,323 "," 897,810 "," 408,201 "," 183,771 "," 408,892 ",0
1998,,0," 234,479 ",0," 2,143,349 "," 348,895 "," 807,495 "," 277,108 ",," 1,941,592 "," 1,558,239 ",0," 89,633 "," 1,411,634 "," 585,839 "," 154,449 "," 174,267 "," 550,603 "," 270,309 "," 148,890 "," 1,072,632 "," 3,017,682 "," 1,518,148 "," 351,340 ",0," 463,373 "," 28,129 "," 73,820 ",0," 172,756 "," 1,541,025 "," 84,899 "," 3,601,543 ",0,0," 2,195,797 ",0," 1,426,454 "," 1,575,762 "," 548,232 ",0," 120,663 ",0," 2,797,015 ",0," 74,069 "," 878,096 "," 454,703 "," 208,885 "," 397,148 ",0
1999,,0,"250,826",0,"2,328,331","340,616","873,108","332,223",,"1,985,312","1,816,022",0,"90,407","1,375,762","617,908","163,099","180,036","547,484","271,779","137,480","1,080,029","3,017,682","1,596,188","363,252",0,"482,571","28,391","72,356",0,"186,132","1,567,667","89,246","3,378,306",0,0,"2,150,499",0,"1,528,042","1,548,064","640,181",0,"119,993",0,"2,571,600",,"70,387","925,382","473,396","255,762","402,425",0
2000,,2,276,7,2465,425,1171,329,,2181,2060,,87,1881,983,338,181,596,981,148,1185,3505,1683,434,177,658,70,76,708,199,2079,131,3352,11,13,2172,12,1345,1615,749,38,123,,2691,,75,981,455,261,383,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,294.9,,2698.8,377.2,910.5,397,,2203.1,2162.8,,92.7,1460.7,568.3,169.6,179.8,638.7,284.7,152.8,1306.5,4202.1,1558.5,352.8,,548.7,31.7,74,,214.9,1955.1,129.1,4335.2,,,1983.1,,1419.9,1818.1,1014,335.5,131.3,,2966.4,,82,1104.9,438.6,449.5,397.5,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
